start,duration,value
2020-10-21T23:36:00+02:00,"[60,60]","[69,67]"
2020-10-22T07:42:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[55,66,59,66,58,54,59,56,70,57,58,57,59,57,53,56,55,55,66,58,58,58,56,56,55,55,55,57,61,57,57,58,57,70,58,59,58,57,64,64,68,69,69,72,70,64,67,64,58,65,62,65,65,65]"
2020-10-20T16:03:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[66,61,60,60,61,54,60,61,54,66,60,61,55,58,59,57,61]"
2020-10-20T00:36:00+02:00,"[60,60]","[69,61]"
2020-10-20T00:40:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[60,61,52,60,72,61,61,62,60,61,59,57,55,63,64,60,58,61,60,60,60,62,61,61,60,59,59,60,60,60,60,61,61,60,61,60,61,61,61,61,62,62,57,60,61,63,62,63,64,64,64,64,76,72,69,64,69,53,58,60,53,77,66,63,68,63,65,75,52,62,73,70,60,63,66,63,67,69,67,69,69,70,70,72,72,74,72,73,75,76,71,70,71,72,73,73,70,69,70,67,68,68,70,69,69,67,67,67,67,68,66,64,65,65,65,65,66,67,66,67,68,66,67,65,66,65,65,66,69,66,65,66,66,66,66,73,65,64,65,65,65,67,66,66,65,66,66,66,66,67,67,66,66,66,67,66,67,68,68,66,66,68,69,68,68,66,67,67,68,67,67,67,68,68,70,71]"
2020-10-20T03:36:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[72,74,75,73,76,73,75,75,75,75,75,75,76,68,64,66,73,73,73,72,71,75,74,72,70,66,66,67,66,75,71,73,78,66,75,72,78,78,78,66,61,66,67,68,67,67,66,66,66,68,65,68,67,64,64,65,66,67,68,68,68,67,68,66,65,67,63,65,66,68,66,67,68,66,67,67,66,68,67,68,67,67,69,67,68,64,64,65,66,65,63,64,65,64,64,64,64,63,66,66,65,63,66,66,65,64,65,64,65,68,64,65,67,64,67,69,71,73,68,68,70,63,68,69,62,64,65,63,65,63,64,64,65,63,64,64,64,60,62,63,63,64,64,63,63,63,63,63,63,64,63,64,64,63,61,65,61,70,69,65,67,64,64,69,62,60,63,62,63,61,62,64,62,58,59,59,59,58,58,60]"
2020-10-20T05:13:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[63,66,66,65,63,66,66,65,64,65,64,65,68,64,65,67,64,67,69,71,73,68,68,70,63,68,69,62,64,65,63,65,63,64,64,65,63,64,64,64,60,62,63,63,64,64,63,63,63,63,63,63,64,63,64,64,63,61,65,61,70,69,65,67,64,64,69,62,60,63,62,63,61,62,64,62,58,59,59,59,58,58,60,58,60,60,59,59,57,58,58,58,57,59,59,63,60,54,59,56,60,58,65,60,62,64,62,62,63,65,65,58,66,65,64]"
2020-10-20T06:36:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[58,60,60,59,59,57,58,58,58,57,59,59,63,60,54,59,56,60,58,65,60,62,64,62,62,63,65,65,58,66,65,64]"
2020-10-20T07:11:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[58,57,58,60,59,60,60,60,61,60,60,60,60,62,61,61,61,61,62,63,63,63,63,63,66,59,59,61,62,66,57,57,58,57,63,59,57,58,57,59,63,64,62,60,60,59,62,60,63,58,58,60,60,60,61,55,62,56,54,55,57,57,59,56,58,56,59,57,55,55,53,56,55,58,54,55,59,52,57,61,58,59,59,57,60,59,60,59,60,68,59,61,59,60,65,61,61,57,61,62,54,58,56,59,63,60,60,60,59,62,54,60,59,61,61,64,61,59,61,66]"
2020-10-17T23:14:00+02:00,"[60,60,60]","[64,62,52]"
2020-10-17T23:19:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[61,60,62,62,61,64,61,60,63,61,60,62,61,61,63,62,61,62,60,60,60,62,62,61,60,61,59,58,56,58,59,60,64,69,63,58,59,65,61,59,61,60,61,61,62,62,58,75,65,80,77,72,65,71,70,78,78,78,82,80,80,81,68,67,66,69,69,69,69,70,71,72,70,71,70,71,69,71,71,68,69,69,69,69,70,73,70,71,72,72,73,73,73,72,73,73,74,72,73,72,72,72,72,72,73,73,69,71,66,70,72,70,70,70,67,69,69,74,72,72,72,73,73,69,72,71,73,73,72,72,72,72,72,72,72,71,73,72,72,72,72,73,73,74,73,73,72,73,73,73,73,73,72,72,73,72,73,73,73,72,72,73,73,73,73,73,70,70,70,63,66,66,63,66,67]"
2020-10-18T02:14:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[66,64,63,63,67,65,67,66,67,67,68,69,68,69,66,68,68,68,68,69,68,68,68,68,69,67,67,69,66,66,66,66,67,68,68,67,70,70,68,66,69,70,66,71,69,68,64,66,68,66,67,66,66,66,65,67,65,66,66,65,65,66,66,66,66,66,67,67,68,68,68,68,68,67,68,68,68,67,68,68,68,68,68,69,68,69,68,67,66,67,67,68,68,68,69,68,68,70,69,69,69,70,70,64,67,68,69,69,69,68,68,67,66,67,67,67,67,67,67,66,65,65,66,65,65,68,63,66,65,64,65,63,64,63,63,67,63,64,64,63,64,65,69,64,62,60,62,65,63,63,62,61,61,62,63,64,67,60,63,64,64,64,63,64,60,62,61,62,62,61,61,62,61,60,60,61,58,60,61,60]"
2020-10-18T05:14:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[60,61,62,61,62,62,60,61,61,59,59,60,60,61,60,61,61,60,62,62,61,62,61,62,62,62,62,62,62,63,62,61,61,63,62,61,62,62,62,63,62,63,63,63,64,62,63,63,63,62,62,60,61,59,61,60,55,61,63,62,63,66,63,59,61,64,64,60,64,62,62,59,62,61,58,61,57,60,59,60,59,57,59,67,59,58,61,59,60,60,62,58,62,61,59,63,61,61,61,62,63,62,61,61,61,61,62,61,63,63,67,58]"
