start,duration,value
2020-10-21T23:36:00+02:00,"[60,60]","[13,12]"
2020-10-22T07:42:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[14,16,17,16,17,17,17,18,15,16,16,17,18,18,17,18,18,18,19,17,17,18,18,18,17,18,18,17,17,16,18,18,18,18,17,17,18,18,18,14,9,17,18,15,19,17,19,19,19,17,10,14,19,20]"
2020-10-20T16:03:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[11,13,13,13,16,15,9,16,13,9,12,12,9,10,13,12,11]"
2020-10-20T00:36:00+02:00,"[60,60]","[15,15]"
2020-10-20T00:40:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[17,17,11,12,16,17,14,16,20,20,10,19,19,17,12,14,13,16,15,16,16,16,16,15,16,15,15,16,16,15,16,16,17,17,17,17,17,16,17,17,17,17,15,15,15,15,16,16,16,17,17,16,14,14,18,15,18,12,15,13,14,11,17,11,16,11,17,15,21,16,24,17,18,12,23,15,21,22,21,22,23,22,22,22,21,22,21,21,21,20,21,21,22,21,20,20,21,21,22,21,20,21,20,20,11,22,20,22,22,22,21,20,19,21,19,20,20,19,21,20,22,20,20,21,19,19,19,19,20,19,19,19,19,19,18,19,17,17,18,18,17,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,17,18,18,18,18,18,17,18,18,17,18,18,18,19,18,18,18,18,18,18]"
2020-10-20T03:36:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[18,18,18,18,18,18,17,17,18,18,18,18,18,17,17,19,20,21,17,18,20,20,20,17,19,17,17,16,19,18,17,17,17,17,16,18,17,17,18,17,17,17,18,17,18,18,18,17,18,17,18,19,19,17,17,17,17,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,17,19,17,17,18,17,18,18,17,18,17,17,18,17,17,17,17,16,17,16,16,17,17,18,17,17,21,16,16,17,17,18,11,17,17,19,17,22,22,23,20,19,19,17,14,16,16,16,16,16,15,16,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,16,17,16]"
2020-10-20T05:13:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[16,17,17,18,17,17,21,16,16,17,17,18,11,17,17,19,17,22,22,23,20,19,19,17,14,16,16,16,16,16,15,16,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,16,17,16,16,17,16,16,16,16,15,16,15,15,17,18,20,18,18,16,17,17,17,19,19,20,22,17,15,15,14,16,16,19,20,23]"
2020-10-20T06:36:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[16,17,16,16,16,16,15,16,15,15,17,18,20,18,18,16,17,17,17,19,19,20,22,17,15,15,14,16,16,19,20,23]"
2020-10-20T07:11:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[18,17,17,17,18,17,16,16,17,16,17,16,17,16,16,16,18,18,17,17,16,17,17,17,18,16,16,16,16,16,16,17,15,16,16,16,17,17,17,17,17,16,17,15,17,15,19,17,17,17,17,15,16,15,17,15,17,16,16,17,17,16,16,17,17,15,18,16,17,17,18,17,16,17,17,17,14,17,18,19,17,17,16,16,16,18,17,18,17,16,18,17,17,17,18,17,17,16,15,17,17,16,16,17,16,17,17,16,16,17,17,16,16,17,16,17,18,10,18,19]"
2020-10-17T23:14:00+02:00,"[60,60,60]","[12,9,13]"
