timestamps,TP9,AF7,AF8,TP10,Right AUX
1606398310.079,-31.738,-37.598,-27.832,-12.207,0.000
1606398310.083,-41.992,-27.344,-25.391,-29.297,0.000
1606398310.086,-43.945,-37.598,-36.621,-34.668,0.000
1606398310.090,-27.832,-43.457,-39.551,-21.484,0.000
1606398310.094,-19.531,-37.598,-31.250,-16.113,0.000
1606398310.098,-23.438,-27.832,-34.180,-24.414,0.000
1606398310.102,-28.320,-32.227,-38.086,-30.273,0.000
1606398310.106,-32.715,-38.574,-32.715,-41.992,0.000
1606398310.110,-26.367,-30.273,-32.227,-37.598,0.000
1606398310.114,-19.531,-33.691,-38.086,-20.996,0.000
1606398310.118,-15.137,-42.480,-35.645,-19.531,0.000
1606398310.122,-16.113,-32.715,-33.203,-31.738,0.000
1606398310.126,-30.762,-20.020,-32.715,-37.109,0.000
1606398310.129,-39.062,-18.555,-42.969,-35.645,0.000
1606398310.133,-29.785,-34.668,-47.852,-28.809,0.000
1606398310.137,-26.855,-31.250,-36.133,-19.043,0.000
1606398310.141,-38.574,-17.578,-35.645,-30.273,0.000
1606398310.145,-39.062,-17.090,-36.621,-26.855,0.000
1606398310.149,-29.297,-22.461,-35.645,-19.043,0.000
1606398310.153,-24.414,-28.320,-42.969,-25.879,0.000
1606398310.157,-25.879,-26.855,-41.016,-29.297,0.000
1606398310.161,-28.320,-30.273,-25.879,-29.785,0.000
1606398310.165,-32.227,-30.273,-25.879,-34.668,0.000
1606398310.168,-31.738,-29.297,-34.180,-32.227,0.000
1606398310.172,-18.555,-38.574,-30.273,-23.438,0.000
1606398310.176,-13.672,-41.016,-30.273,-22.949,0.000
1606398310.180,-28.320,-32.715,-35.645,-24.414,0.000
1606398310.184,-36.621,-21.973,-35.645,-25.879,0.000
1606398310.188,-35.645,-18.066,-37.598,-21.484,0.000
1606398310.192,-30.762,-35.156,-47.852,-12.695,0.000
1606398310.196,-19.531,-44.922,-45.898,-11.230,0.000
1606398310.200,-21.484,-32.227,-37.598,-15.625,0.000
1606398310.204,-30.273,-24.414,-43.457,-20.508,0.000
1606398310.208,-41.016,-23.438,-38.574,-25.879,0.000
1606398310.211,-40.527,-29.297,-34.180,-27.344,0.000
1606398310.215,-31.738,-38.086,-33.691,-23.438,0.000
1606398310.219,-38.086,-32.227,-25.879,-28.809,0.000
1606398310.223,-42.969,-34.668,-30.273,-33.203,0.000
1606398310.227,-38.574,-36.133,-40.527,-26.855,0.000
1606398310.231,-30.273,-16.113,-34.180,-20.020,0.000
1606398310.235,-18.066,-23.438,-19.531,-17.090,0.000
1606398310.239,-17.578,-33.203,-19.043,-23.926,0.000
1606398310.243,-27.832,-19.043,-28.320,-32.227,0.000
1606398310.247,-37.598,-14.160,-31.250,-35.645,0.000
1606398310.251,-28.809,-17.090,-28.809,-30.762,0.000
1606398310.254,-11.719,-21.973,-33.691,-25.391,0.000
1606398310.258,-16.113,-22.949,-31.250,-24.902,0.000
1606398310.262,-23.438,-22.949,-28.320,-23.926,0.000
1606398310.266,-20.996,-34.668,-41.992,-28.320,0.000
1606398310.270,-17.090,-42.480,-41.992,-22.461,0.000
1606398310.274,-13.184,-36.621,-38.574,-16.602,0.000
1606398310.278,-14.648,-23.438,-40.527,-23.926,0.000
1606398310.282,-21.484,-24.902,-37.109,-23.926,0.000
1606398310.286,-27.832,-28.809,-31.738,-21.484,0.000
1606398310.290,-28.809,-28.320,-31.738,-22.461,0.000
1606398310.293,-17.578,-27.832,-35.645,-17.578,0.000
1606398310.297,-16.602,-28.809,-30.762,-16.113,0.000
1606398310.301,-29.297,-39.551,-33.203,-25.879,0.000
1606398310.305,-33.203,-38.574,-38.574,-31.250,0.000
1606398310.309,-36.133,-34.180,-41.992,-33.691,0.000
1606398310.313,-31.738,-42.969,-43.945,-31.738,0.000
1606398310.317,-28.809,-45.410,-38.086,-26.367,0.000
1606398310.321,-37.598,-23.926,-43.457,-37.109,0.000
1606398310.325,-42.969,-19.531,-42.480,-42.480,0.000
1606398310.329,-36.133,-25.391,-28.320,-31.250,0.000
1606398310.333,-25.391,-22.461,-21.484,-23.926,0.000
1606398310.336,-16.602,-20.508,-31.250,-19.531,0.000
1606398310.340,-18.555,-26.855,-34.668,-17.578,0.000
1606398310.344,-32.227,-33.203,-26.367,-21.973,0.000
1606398310.348,-34.180,-30.762,-29.785,-16.602,0.000
1606398310.352,-25.879,-27.832,-37.598,-3.418,0.000
1606398310.356,-23.926,-24.902,-34.668,-6.836,0.000
1606398310.360,-30.762,-31.250,-28.320,-14.160,0.000
1606398310.364,-37.598,-31.738,-30.762,-23.926,0.000
1606398310.368,-38.574,-22.461,-27.832,-27.344,0.000
1606398310.372,-33.691,-33.691,-22.461,-25.391,0.000
1606398310.376,-27.344,-47.363,-14.648,-20.996,0.000
1606398310.379,-34.180,-34.668,-23.926,-23.926,0.000
1606398310.383,-47.852,-33.203,-35.156,-36.621,0.000
1606398310.387,-41.504,-36.621,-21.973,-32.227,0.000
1606398310.391,-27.832,-25.391,-27.832,-21.484,0.000
1606398310.395,-27.832,-24.902,-37.109,-22.949,0.000
1606398310.399,-31.250,-40.527,-24.414,-29.785,0.000
1606398310.403,-36.133,-48.340,-21.973,-29.785,0.000
1606398310.407,-46.875,-35.156,-30.273,-36.621,0.000
1606398310.411,-41.504,-21.484,-23.926,-39.062,0.000
1606398310.415,-36.133,-20.020,-23.438,-32.715,0.000
1606398310.418,-41.016,-33.691,-34.180,-35.645,0.000
1606398310.422,-45.898,-47.852,-42.480,-36.133,0.000
1606398310.426,-52.246,-41.504,-44.434,-37.109,0.000
1606398310.430,-43.945,-30.762,-30.762,-30.273,0.000
1606398310.434,-30.273,-24.902,-27.344,-19.043,0.000
1606398310.438,-27.832,-37.109,-24.414,-19.531,0.000
1606398310.442,-37.109,-44.922,-24.902,-25.391,0.000
1606398310.446,-39.062,-28.320,-38.574,-29.297,0.000
1606398310.450,-29.785,-25.879,-29.785,-20.996,0.000
1606398310.454,-24.902,-25.391,-31.250,-18.066,0.000
1606398310.458,-20.996,-22.461,-39.062,-22.949,0.000
1606398310.461,-28.320,-39.062,-35.156,-31.738,0.000
1606398310.465,-37.109,-47.852,-25.879,-34.180,0.000
1606398310.469,-34.668,-33.203,-15.137,-32.227,0.000
1606398310.473,-27.344,-19.531,-20.020,-30.762,0.000
1606398310.477,-24.414,-26.367,-33.691,-32.715,0.000
1606398310.481,-31.250,-32.715,-40.527,-40.527,0.000
1606398310.485,-39.551,-21.973,-35.645,-37.109,0.000
1606398310.489,-34.668,-27.344,-30.762,-26.367,0.000
1606398310.493,-27.344,-45.898,-35.156,-19.531,0.000
